parameter,coef,std_err,z_stat,p_value
mu,0.0006565494181535747,,,
phi,0.788657745197517,,,
theta,-0.8236243941585853,,,
lambda_m,-0.030031995854039928,,,
omega,1.2535358493052362e-06,,,
alpha,0.07927365002160917,,,
beta,0.8924386982500996,,,
nu,7.999535336867455,,,
