parameter,coef,std_err,z_stat,p_value
mu,-9.231913910530649e-05,,,
phi,-0.3077334719979776,,,
theta,0.347607775050237,,,
omega,7.652484250642127e-07,,,
alpha,0.05870053050518218,,,
beta,0.9280795874367341,,,
nu,4.724737439534105,,,
skew,1.0495177646222007,,,
