model_key,series,lag,lb_stat,lb_pvalue,bp_stat,bp_pvalue
GARCH | normal,std_resid,1,2.2481012940369376,0.13377845889344547,2.241281977674844,0.13436953647534947
GARCH | normal,std_resid,6,3.6238781601744785,0.727421914202534,3.609131177409646,0.7293981858895509
GARCH | normal,std_resid,10,5.194386850047063,0.8778200998175251,5.163846198216465,0.8799674737757176
GARCH | normal,std_resid,15,11.586208937952904,0.7100410370214132,11.463716545626896,0.7190834064346081
GARCH | normal,std_resid,20,17.833677762579356,0.598363781141205,17.596054696401037,0.6139989630499453
GARCH | normal,abs_std_resid,1,0.34933242965436084,0.5544912688988145,0.34827277617714847,0.555092501762658
GARCH | normal,abs_std_resid,6,8.253764782187499,0.22009515769404195,8.193909641916589,0.22423848534135857
GARCH | normal,abs_std_resid,10,14.114255965501004,0.16784354686339198,13.996662202126847,0.17314390963035325
GARCH | normal,abs_std_resid,15,16.688098676252963,0.3378491809550638,16.53034444705851,0.34770610953063336
GARCH | normal,abs_std_resid,20,18.112337166558703,0.5800081476971054,17.924386576472994,0.5923893597118984
GARCH | normal,sq_std_resid,1,0.23707329829863816,0.6263279702443232,0.23635416797012862,0.6268518171185766
GARCH | normal,sq_std_resid,6,1.8662185237042714,0.9315819479655728,1.8538239731510449,0.9326393677752912
GARCH | normal,sq_std_resid,10,2.426384260099322,0.9919056003801958,2.408092879696105,0.9921484126147669
GARCH | normal,sq_std_resid,15,3.1484943636952036,0.9994580505016875,3.119670131183498,0.9994878416666927
GARCH | normal,sq_std_resid,20,3.8574559697440627,0.9999655247113766,3.814049161759175,0.9999686101889667
GARCH | t,std_resid,1,0.9122125554997121,0.3395280434343954,0.9094454800027465,0.34026159200152467
GARCH | t,std_resid,6,3.085723521278268,0.7980133004363494,3.070488836981827,0.799949176781686
GARCH | t,std_resid,10,5.291283000715738,0.870890152635853,5.254099034074795,0.8735703794783225
GARCH | t,std_resid,15,10.577524852122979,0.781927781961481,10.462980421195478,0.7896515961731727
GARCH | t,std_resid,20,16.510080301116638,0.6845184156359638,16.28529900819782,0.6987744801607494
GARCH | t,abs_std_resid,1,2.715565082694992,0.09937377426592058,2.7073277770851996,0.09988818767166115
GARCH | t,abs_std_resid,6,9.172941389109083,0.1640830338348632,9.120869525588857,0.1668936979291894
GARCH | t,abs_std_resid,10,14.982508124556606,0.13270088115392242,14.872824519816454,0.13676769625777585
GARCH | t,abs_std_resid,15,18.051388657445962,0.2599735443486775,17.89662281615477,0.26813942163479487
GARCH | t,abs_std_resid,20,20.897702904217827,0.40317561933052753,20.685898520797156,0.4158231426259476
GARCH | t,sq_std_resid,1,0.7211456951029861,0.39576835737008376,0.7189581955222895,0.3964858526427928
GARCH | t,sq_std_resid,6,1.765730198886007,0.9399348327432596,1.7567371982336761,0.9406575546589863
GARCH | t,sq_std_resid,10,2.1769095405560224,0.9947956010937908,2.1634759057273625,0.9949266934247792
GARCH | t,sq_std_resid,15,2.7179462729289496,0.9997833219281407,2.696953559935633,0.9997936962580439
GARCH | t,sq_std_resid,20,3.936808683031138,0.9999592113730281,3.890811832110089,0.9999629809393845
GARCH | skewt,std_resid,1,0.9907339669396488,0.3195630527110377,0.9877287071814901,0.3202981326020074
GARCH | skewt,std_resid,6,3.17154105252083,0.7870291476507176,3.1560012553735084,0.7890277689564749
GARCH | skewt,std_resid,10,5.359240493948164,0.865925743635914,5.321952185207702,0.8686602110464083
GARCH | skewt,std_resid,15,10.621486778919847,0.7789360654800512,10.50711460462698,0.7866879645645275
GARCH | skewt,std_resid,20,16.56194572770059,0.6812075534451589,16.337203268478813,0.6954966927195824
GARCH | skewt,abs_std_resid,1,2.568487043931604,0.10901194673109278,2.560695879996523,0.10955035282425732
GARCH | skewt,abs_std_resid,6,8.92037767446665,0.17810574175857172,8.869294837921093,0.18106337396669925
GARCH | skewt,abs_std_resid,10,14.989968183452879,0.13242802652543614,14.878519890957852,0.13655397089952828
GARCH | skewt,abs_std_resid,15,18.08127671979328,0.25841671610779854,17.92446300621205,0.26665759875398387
GARCH | skewt,abs_std_resid,20,20.99954168239403,0.3971595762638674,20.78419645781355,0.40993110556051116
GARCH | skewt,sq_std_resid,1,0.6845993053078345,0.4080074546640948,0.682522664341279,0.40871940495139847
GARCH | skewt,sq_std_resid,6,1.7217909587831657,0.9434265986056043,1.7129334430231506,0.9441184215342456
GARCH | skewt,sq_std_resid,10,2.1593855857652264,0.9949661403295211,2.145796850859147,0.9950956308864801
GARCH | skewt,sq_std_resid,15,2.7062854229907702,0.9997891356488816,2.685063829070277,0.9997993903486835
GARCH | skewt,sq_std_resid,20,3.9400287881232057,0.9999589356406402,3.8934745226278866,0.999962771147267
GARCH-M | normal,std_resid,1,7.196508749805572,0.007304555086891226,7.174679097379468,0.007393967236770824
GARCH-M | normal,std_resid,6,9.45583693468473,0.14951820354753306,9.420728685697457,0.1512623359036175
GARCH-M | normal,std_resid,10,11.346379403154511,0.3311761441224265,11.292232550204474,0.33520827500450207
GARCH-M | normal,std_resid,15,16.76756145078666,0.33294845954583274,16.63382122332906,0.3412215082865249
GARCH-M | normal,std_resid,20,23.30043760894659,0.27428432459321833,23.04600854226704,0.28654107162856035
GARCH-M | normal,abs_std_resid,1,3.3433311153005643,0.06747787242616385,3.3331895649002594,0.06789508862745801
GARCH-M | normal,abs_std_resid,6,10.030775152376169,0.12336197948907564,9.970814677667954,0.12588646948667648
GARCH-M | normal,abs_std_resid,10,15.58582494911355,0.11211840196184615,15.47111876409188,0.11580635781930733
GARCH-M | normal,abs_std_resid,15,17.287599607214116,0.3019644133787385,17.147652410426964,0.3101146504437305
GARCH-M | normal,abs_std_resid,20,19.284676446747838,0.5033969797050537,19.10492433316406,0.5150155250292819
GARCH-M | normal,sq_std_resid,1,1.149250800321854,0.2837060382599799,1.1457647008264389,0.28443750429369336
GARCH-M | normal,sq_std_resid,6,2.090356253928569,0.9112036919846465,2.079864855838205,0.9122087590842389
GARCH-M | normal,sq_std_resid,10,2.450237706986278,0.9915812008125413,2.4359072734436005,0.9917771481598556
GARCH-M | normal,sq_std_resid,15,2.993863067448177,0.9996028797537471,2.9718976846964114,0.9996206342325851
GARCH-M | normal,sq_std_resid,20,4.045787206875524,0.9999489514030001,4.002356868999188,0.9999532764392216
GARCH-M | t,std_resid,1,8.096722743425973,0.004434536829069506,8.072162411545005,0.004495044214262532
GARCH-M | t,std_resid,6,11.039164163183697,0.08717353206499931,10.99731641729607,0.08845940714274879
GARCH-M | t,std_resid,10,12.619744107620274,0.24571599639663233,12.562120841465223,0.24919441995141117
GARCH-M | t,std_resid,15,17.967141153614424,0.26439699205461287,17.830825703335588,0.2716640109385622
GARCH-M | t,std_resid,20,24.38471343345222,0.22599090508276934,24.129411793609577,0.2367848912063989
GARCH-M | t,abs_std_resid,1,1.9634409365885321,0.1611457941023788,1.9574850995715802,0.16178253809667603
GARCH-M | t,abs_std_resid,6,8.559791766467173,0.19989016749162897,8.503340141722433,0.20349604062773208
