parameter,coef,std_err,z_stat,p_value
mu,-0.00018227851077376252,,,
phi,-0.30734617808792347,,,
theta,0.3483670785248345,,,
omega,7.824290667017512e-07,,,
alpha,0.05819365408275141,,,
beta,0.9280662208093299,,,
nu,4.724683181501845,,,
