parameter,coef,std_err,z_stat,p_value
mu,-1.4340885990482149e-05,,,
phi,0.08551815960601708,,,
theta,-0.05265752984199035,,,
omega,7.386441228355325e-07,,,
alpha,0.027466589166451588,,,
gamma,-0.9978895430887907,,,
beta,0.9262246762074137,,,
delta,2.053568040589601,,,
nu,5.100704597842882,,,
skew,1.0498970049255743,,,
