parameter,coef,std_err,z_stat,p_value
mu,-0.00011306611132626467,,,
phi,0.09767772803310037,,,
theta,-0.05472884901840458,,,
omega,1.071728870105776e-06,,,
alpha,0.03895535236365229,,,
gamma,-0.993387910072701,,,
beta,0.8992712055106509,,,
delta,2.0591567331797833,,,
