parameter,coef,std_err,z_stat,p_value
mu,-0.00011562888990606489,,,
phi,0.40205878312463805,,,
theta,-0.3865311852523406,,,
omega,4.700810194804999e-06,,,
alpha,0.2555565429529297,,,
gamma,-0.17155320021255974,,,
beta,0.7434379294167435,,,
nu,7.998786481269909,,,
skew,1.0499422789320008,,,
