model_key,model,distribution,parameter,coef,std_err,z_stat,p_value
GARCH | normal,GARCH,normal,mu,-0.00047845940101142685,,,
GJR-GARCH | normal,GJR-GARCH,normal,beta,0.7435089859968552,,,
GJR-GARCH | t,GJR-GARCH,t,mu,-0.00012752319025875996,,,
GJR-GARCH | t,GJR-GARCH,t,phi,0.4020188549887661,,,
GJR-GARCH | t,GJR-GARCH,t,theta,-0.38662466790115074,,,
GJR-GARCH | t,GJR-GARCH,t,omega,4.635468234704127e-06,,,
GJR-GARCH | t,GJR-GARCH,t,alpha,0.25550605440344826,,,
GJR-GARCH | t,GJR-GARCH,t,gamma,-0.1714970068605249,,,
GJR-GARCH | t,GJR-GARCH,t,beta,0.743420573569594,,,
GJR-GARCH | t,GJR-GARCH,t,nu,7.9989166614638725,,,
GJR-GARCH | skewt,GJR-GARCH,skewt,mu,-0.00011562888990606489,,,
GJR-GARCH | skewt,GJR-GARCH,skewt,phi,0.40205878312463805,,,
GJR-GARCH | skewt,GJR-GARCH,skewt,theta,-0.3865311852523406,,,
GJR-GARCH | skewt,GJR-GARCH,skewt,omega,4.700810194804999e-06,,,
GJR-GARCH | skewt,GJR-GARCH,skewt,alpha,0.2555565429529297,,,
GJR-GARCH | skewt,GJR-GARCH,skewt,gamma,-0.17155320021255974,,,
GJR-GARCH | skewt,GJR-GARCH,skewt,beta,0.7434379294167435,,,
GJR-GARCH | skewt,GJR-GARCH,skewt,nu,7.998786481269909,,,
GJR-GARCH | skewt,GJR-GARCH,skewt,skew,1.0499422789320008,,,
APARCH | normal,APARCH,normal,mu,-0.00011306611132626467,,,
APARCH | normal,APARCH,normal,phi,0.09767772803310037,,,
APARCH | normal,APARCH,normal,theta,-0.05472884901840458,,,
APARCH | normal,APARCH,normal,omega,1.071728870105776e-06,,,
APARCH | normal,APARCH,normal,alpha,0.03895535236365229,,,
APARCH | normal,APARCH,normal,gamma,-0.993387910072701,,,
APARCH | normal,APARCH,normal,beta,0.8992712055106509,,,
APARCH | normal,APARCH,normal,delta,2.0591567331797833,,,
APARCH | t,APARCH,t,mu,-5.962639694910987e-05,,,
APARCH | t,APARCH,t,phi,0.08503526424962238,,,
APARCH | t,APARCH,t,theta,-0.05321419605335274,,,
APARCH | t,APARCH,t,omega,7.034729955092438e-07,,,
APARCH | t,APARCH,t,alpha,0.0274812533474684,,,
APARCH | t,APARCH,t,gamma,-0.9989375762638569,,,
APARCH | t,APARCH,t,beta,0.9267191798769631,,,
APARCH | t,APARCH,t,delta,2.054557645198251,,,
APARCH | t,APARCH,t,nu,5.1008582677408425,,,
APARCH | skewt,APARCH,skewt,mu,-1.4340885990482149e-05,,,
APARCH | skewt,APARCH,skewt,phi,0.08551815960601708,,,
APARCH | skewt,APARCH,skewt,theta,-0.05265752984199035,,,
APARCH | skewt,APARCH,skewt,omega,7.386441228355325e-07,,,
APARCH | skewt,APARCH,skewt,alpha,0.027466589166451588,,,
APARCH | skewt,APARCH,skewt,gamma,-0.9978895430887907,,,
APARCH | skewt,APARCH,skewt,beta,0.9262246762074137,,,
APARCH | skewt,APARCH,skewt,delta,2.053568040589601,,,
APARCH | skewt,APARCH,skewt,nu,5.100704597842882,,,
APARCH | skewt,APARCH,skewt,skew,1.0498970049255743,,,
