series,lag,lb_stat,lb_pvalue,bp_stat,bp_pvalue
log_return,1,1.6957005003939256,0.19285121914740516,1.6905568183907085,0.1935275845214038
log_return,6,6.165355903928203,0.40492421010069735,6.140457842689264,0.40764139524391585
log_return,10,18.795419692891446,0.04293943496378523,18.641803752003394,0.045055382262583155
log_return,15,24.089197576567717,0.06359415740377027,23.857839440010142,0.06754727684406768
log_return,20,37.377549888453444,0.01053969215855099,36.90145672433972,0.012024460212906079
abs_log_return,1,112.10750804142305,3.3845080485660225e-26,111.76744482188386,4.017794658420592e-26
abs_log_return,6,394.06496201333874,5.276363147940028e-82,392.16418685633107,1.3517747908183878e-81
abs_log_return,10,546.998205033627,3.934016659473502e-111,543.5063638888724,2.1978391248860137e-110
abs_log_return,15,660.1163166972503,5.819419966941626e-131,654.8944561445177,7.523881519282481e-130
abs_log_return,20,762.4987739692307,1.2792677973818216e-148,755.206732064745,4.497274705837898e-147
sq_log_return,1,105.08364255890096,1.1708751849057058e-24,104.76488530139164,1.3752306247213534e-24
sq_log_return,6,315.49427334045083,3.905602560781108e-65,314.080989086409,7.847005128740239e-65
sq_log_return,10,402.3623814308419,2.9575693147743114e-80,400.01953686899384,9.323598645978923e-80
sq_log_return,15,447.20918960865146,7.979995025061106e-86,444.18952737981414,3.4568130065541445e-85
sq_log_return,20,488.53921925662405,7.283698601223947e-91,484.68978654442134,4.6500366826825e-90
