parameter,coef,std_err,z_stat,p_value
mu,-7.716458551729206e-05,0.00017695886499441194,-0.43605945099008625,0.6627935960703901
phi,-0.06037333045447801,0.03186139638398597,-1.894873963679212,0.05810910128606239
theta,0.1060908685894886,0.03634492997028629,2.9190004954259905,0.0035115566564392076
omega,-0.12960427584403578,0.06615717194871894,-1.9590359144205443,0.05010858095382842
alpha,0.13440829863655224,0.030338881997958096,4.430232420746366,9.413158065241234e-06
gamma,0.07813323718820378,0.02090284620689052,3.737923362917321,0.00018554648218072067
beta,0.9863101358533335,0.00679786691747279,145.09112164555424,0.0
nu,4.994412660943409,0.7537525048154569,6.626064429684654,3.447553353908006e-11
