parameter,coef,std_err,z_stat,p_value
mu,0.0006282385086005294,,,
phi,0.7886250447862976,,,
theta,-0.8239189481531233,,,
lambda_m,-0.03166099102994451,,,
omega,1.9622034051529297e-06,,,
alpha,0.07928652523779464,,,
beta,0.8925836410902437,,,
