parameter,coef,std_err,z_stat,p_value
mu,-0.0008436231662133891,,,
phi,0.40172595157612057,,,
theta,-0.38729843885457577,,,
omega,5.550957245317306e-06,,,
alpha,0.25549094780746845,,,
gamma,-0.17111089205700383,,,
beta,0.7435089859968552,,,
