parameter,coef,std_err,z_stat,p_value
mu,-5.962639694910987e-05,,,
phi,0.08503526424962238,,,
theta,-0.05321419605335274,,,
omega,7.034729955092438e-07,,,
alpha,0.0274812533474684,,,
gamma,-0.9989375762638569,,,
beta,0.9267191798769631,,,
delta,2.054557645198251,,,
nu,5.1008582677408425,,,
