parameter,coef,std_err,z_stat,p_value
mu,-0.00047845940101142685,,,
phi,-0.6665615402430968,,,
theta,0.669141073139679,,,
omega,4.024040764685975e-06,,,
alpha,0.14161503180060422,,,
beta,0.8045729858864573,,,
