parameter,coef,std_err,z_stat,p_value
mu,-0.00012752319025875996,,,
phi,0.4020188549887661,,,
theta,-0.38662466790115074,,,
omega,4.635468234704127e-06,,,
alpha,0.25550605440344826,,,
gamma,-0.1714970068605249,,,
beta,0.743420573569594,,,
nu,7.9989166614638725,,,
