parameter,coef,std_err,z_stat,p_value
mu,0.0006781681619570151,,,
phi,0.7886827153344306,,,
theta,-0.8233994716860207,,,
lambda_m,-0.0287880892804939,,,
omega,1.257770829230678e-06,,,
alpha,0.07926381861111333,,,
beta,0.8923280195983423,,,
nu,7.999255991693909,,,
skew,1.0498945845249263,,,
