date,GARCH__normal,GARCH__t,GARCH__skewt,GARCH_M__normal,GARCH_M__t,GARCH_M__skewt,EGARCH__normal,EGARCH__t,EGARCH__skewt,GJR_GARCH__normal,GJR_GARCH__t,GJR_GARCH__skewt,APARCH__normal,APARCH__t,APARCH__skewt
2016-01-12,0.008748874813674631,0.008748874813674631,0.008748874813674631,0.008748874813674631,0.008748874813674631,0.008748874813674631,0.008748874813674631,0.008748874813674631,0.008748874813674631,0.008748874813674631,0.008748874813674631,0.008748874813674631,0.008748874813674631,0.008748874813674631,0.008748874813674631
2016-01-13,0.017447328708342168,0.012982253323065667,0.012997503569348586,0.014093731765722383,0.014057784433592381,0.014049704057942184,0.014262452049878764,0.013589529625049659,0.013676492545309603,0.022382669021907286,0.022024034211962272,0.022021829360401708,0.01862519119700053,0.016353078795216604,0.01632216359269268
2016-01-14,0.016132531832883046,0.012653517671810579,0.012667155806190721,0.013682966561524504,0.01361829154846403,0.013606752720992047,0.01426112197232454,0.013501154970855045,0.013590763175826687,0.019946840140916935,0.01954136063361841,0.019539678166132463,0.017926083835666563,0.015965847727480123,0.015928916951542454
2016-01-15,0.014624321340140628,0.012230578039653408,0.012244022680125506,0.013003658847930056,0.012914803421234992,0.012903601290598804,0.013507770075893974,0.01278596805684264,0.012870805220448703,0.017368326087052893,0.017002079832121368,0.01700294563411959,0.01706408710219615,0.0154131820174997,0.015374698849488702
2016-01-16,0.013285632073035786,0.011820737280305806,0.011832448761777435,0.012392544230580537,0.012277472403230426,0.012264922591668415,0.012968003926014313,0.012202580698314001,0.012276418155389558,0.0151930831674103,0.01483054577186467,0.01483338677871435,0.016256024084195003,0.014887736542297062,0.014847605607516065
2016-01-19,0.012090948824027222,0.011423091240894625,0.011433403289253477,0.011808398817780128,0.011667559101285295,0.011654006924628776,0.012365032294576668,0.011569267741790774,0.011632575598506997,0.013327300107559552,0.012970844415574775,0.01297578061833153,0.015483720771633493,0.014377457385998677,0.014336135145276345
2016-01-20,0.01513980626736598,0.012851136765030672,0.01286288292351784,0.013854362025265363,0.013698978861071194,0.013672779900462319,0.015116226976503576,0.01401837588985565,0.014117196750282225,0.01833875539974603,0.01784798782868569,0.017848988299222865,0.018348734212275723,0.016647299418273583,0.01659804970270542
2016-01-21,0.013745989714002333,0.012436513205902059,0.012448257196382512,0.013164173249133,0.01298970745826744,0.012964344196276222,0.014301338357377914,0.013294341811084128,0.013385112308413355,0.015996931229003385,0.015557237264067639,0.015560583973701086,0.01746455283051092,0.0160686514559015,0.016018079725836264
2016-01-22,0.01339855759525294,0.012416469983143368,0.012424022078764585,0.013183554845736562,0.012985980069950982,0.012953126999749865,0.014999546396506845,0.013863457291028147,0.013957533989995805,0.015470143580334316,0.014949456552669148,0.01495194929326198,0.017333505048193733,0.016048802814131208,0.01599446567997678
2016-01-23,0.022759346465293193,0.017039340017703252,0.017069730420198683,0.019561501272397388,0.019387154207311425,0.019341614160475383,0.020855740984837425,0.019179649915895058,0.01935767828614486,0.02924002391112943,0.028700575053162043,0.02869883903763986,0.026230463835288858,0.023156936398249426,0.02308872049926106
2016-01-26,0.024667365546175286,0.018876597758143095,0.018925873474252803,0.020648105208298163,0.020506633786941286,0.020484364617835746,0.019537744051413758,0.01904365810258622,0.019166132070267062,0.027485385120428956,0.027118730700196117,0.027120912735636965,0.02493830576342926,0.02233372582629732,0.022262759123019282
2016-01-27,0.025716243361397672,0.019843753268510848,0.019914940341488382,0.02155012079744203,0.021434293750162172,0.021430293376587226,0.018332396392275564,0.0187533413354139,0.018835141755910903,0.025784313296099353,0.025543801592370508,0.02554800673801476,0.02371250076577446,0.02154118418896297,0.021467828335574854
2016-01-28,0.030104717268453707,0.022819694852961075,0.02289253464421042,0.02517826156144405,0.025041410932193434,0.025014660193462865,0.02400583414113215,0.023637164140591162,0.023795851468266925,0.034535339579946145,0.03413399752537214,0.03413704312011549,0.03090426303335749,0.027266124959738656,0.027193554628137075
2016-01-29,0.030110302972008066,0.02378779980126889,0.023869459126486053,0.025425052448225065,0.02531074736620946,0.025301630116543038,0.022453857692455812,0.023117523079755693,0.023221006536491375,0.03155734353535072,0.031277204733631166,0.03128249532226622,0.0293730830332908,0.026290502285679064,0.026214088720892988
2016-01-30,0.028128547489478208,0.02335933020840183,0.023447001291920674,0.02460347495832209,0.024495203607491668,0.0244949922959557,0.021067986844088164,0.02212555905998872,0.022203566948810618,0.02790604019377242,0.0276911015516663,0.02769752382454175,0.02792003541457539,0.025350978979403176,0.025271157749069774
2016-02-02,0.027469438569258244,0.02354955386852634,0.023644960315131722,0.024472490690241287,0.024379080722601396,0.024391740946883282,0.019762793937596293,0.021456626154133452,0.021499522026843472,0.025466383123846165,0.025328454419568127,0.025335860350413488,0.02654128950361094,0.024446266349786756,0.02436345061364268
2016-02-03,0.02542864114083937,0.023053155413511415,0.023141374346904213,0.02362769513463384,0.02351159401128809,0.02351310516156058,0.020513164261035787,0.02180527656741729,0.02185682817004269,0.02363211136379467,0.02338356205763597,0.02339033325197376,0.026056570701753906,0.02417607971801799,0.024091068959028232
2016-02-04,0.024237001501887682,0.02273897469443337,0.022823237220169407,0.02328521188024324,0.023143848495615266,0.02313061877571466,0.021607544149082447,0.022501715119535148,0.022574220150053125,0.023234175271396092,0.022860200600429027,0.022864746396815815,0.026024674088045943,0.02427573321567808,0.02418481925973593
2016-02-05,0.022798723964731062,0.022287811640570598,0.02236726224571089,0.022760865647607063,0.022596350989564876,0.022570455634429165,0.022149779547164714,0.022724321812123555,0.02280663683459061,0.022021184236776965,0.02156073466712103,0.0215635126332092,0.025532775502953374,0.02402185655581571,0.023925323753024006
2016-02-06,0.024514800460917485,0.023204375727090772,0.02329596460072564,0.023372057830007995,0.023241218926819046,0.02323808270520442,0.02074154846593211,0.022244212687442654,0.022281133201318852,0.021733175207125248,0.021455620685251035,0.021461348459093598,0.024276426868859436,0.023166478431122628,0.023067986860364844
2016-02-09,0.02254172985183812,0.022599812427790432,0.022684265672875174,0.022470039053020478,0.02231837730916166,0.022305549038960145,0.021024533867309136,0.022175297823934657,0.022212696295013552,0.019939768245874276,0.019582902122272684,0.01958836444897565,0.023636389903246683,0.022722653202082218,0.0226234092368735
2016-02-10,0.020438058225759524,0.02185676367853643,0.02193922989467312,0.021294126454492888,0.02113608663938226,0.021125233992792893,0.01977622811560969,0.02093431098738428,0.020961186906779075,0.017425236202013927,0.017113463023292797,0.0171205612427196,0.02247758147443812,0.021915614558320588,0.021814919505527663
2016-02-11,0.020528893331063315,0.02186740071142419,0.02194359518120289,0.021474146522359395,0.021290730179413096,0.021262443340178922,0.02140503059298017,0.022127906298325384,0.02217817771453763,0.019548628621604187,0.01909755994277599,0.01910143928631849,0.02335910902653055,0.022563186514969986,0.022461009310546252
2016-02-12,0.018629128623304726,0.021106039201896583,0.021178657748206875,0.02048050699493447,0.02028084067550473,0.020247137412356068,0.02056261884530871,0.021099993618402497,0.021145838750434468,0.017240943280843433,0.01677712587345499,0.01678153976364808,0.022266572753541797,0.021804131881278256,0.021699493897758517
2016-02-13,0.016835240619693548,0.020353302484133855,0.020422680786054814,0.019437772533017112,0.0192253897812431,0.019189538607916348,0.019418707804387477,0.01981421229298716,0.01984673616400801,0.015064294490472297,0.0146270575724309,0.014633107152448853,0.021179002661741532,0.021031758183515856,0.020926078020756748
2016-02-16,0.015360125028982359,0.01966283013664377,0.01972828328708405,0.018567920360615355,0.018339179828905434,0.018298218751799638,0.0188373289109845,0.019062492194930492,0.019090573630931508,0.0134954232834967,0.013025786268570353,0.013032361919448399,0.02023178905331888,0.02034675341592368,0.02023959579634302
2016-02-17,0.016069876541860185,0.01967928761646524,0.01975117107897445,0.018333161632137194,0.018126866073420986,0.018103751313320055,0.01771113237946787,0.018466049159922945,0.018470576605387402,0.013361323589583658,0.013065735951291426,0.013074874444412351,0.019249273391433536,0.019628488365690006,0.01952094785918963
2016-02-18,0.016282046534886123,0.0195128714750081,0.019590853322066865,0.01804717692741189,0.017858659831728938,0.01785031753728882,0.016674338354605498,0.017829356643612085,0.01781673757089168,0.012968468868686819,0.012786842311679678,0.012797528468586407,0.018317976526217656,0.018937176880143295,0.018829507811754766
2016-02-19,0.016786580218924513,0.019520275020508453,0.019591874882923722,0.0182658122356533,0.018054283121340182,0.01802965892883855,0.018309615492160005,0.019048078789558838,0.019061614328800526,0.015964318074624388,0.015588075987271709,0.015594718656398145,0.019481020393250715,0.01964292219872787,0.019537916303486325
2016-02-20,0.019109364722426372,0.020353072463576424,0.020434670516980186,0.019080353255896194,0.018909698012996762,0.018908127149194664,0.017195453015465417,0.01873332878546951,0.018712326116987768,0.016545508749211253,0.01635018482803368,0.016358942547099516,0.018537647408597896,0.01895106882072395,0.01884583459303324
2016-02-21,0.017894092628543332,0.019906752508544862,0.01998091551132581,0.018481449361866048,0.018289390878300928,0.01827770355118133,0.01779131711225555,0.01897917165468751,0.018965379259946506,0.015920979604698165,0.015599541412865982,0.015607225191851554,0.018406108761071408,0.018780248318243074,0.018676310427593927
2016-02-25,0.016638221661410563,0.019323116829016544,0.019393265506513317,0.017850877979339153,0.017638705909239542,0.017618214074826704,0.017839655709664292,0.018757246338158347,0.018753986738580267,0.014959644602808166,0.014545803167727326,0.014552396716074213,0.017916565010408763,0.01839835257535215,0.018292558623887387
2016-02-26,0.015443534183173268,0.01877657010761045,0.018847057410559982,0.01703825554905536,0.016825746431611655,0.01681135818366522,0.01681617107586097,0.017859019393672144,0.017847638585478748,0.013368791368460673,0.013030477694843537,0.013039389506005111,0.017055071694536156,0.01775335843120542,0.017647789766744984
2016-02-27,0.013998146574086101,0.0181108020151295,0.018178116195564847,0.016170081730686847,0.015944226743684176,0.015928321824404117,0.015950382340987498,0.016818864068218572,0.0167991112469251,0.011774703715542845,0.011440049710301714,0.011450528721762918,0.016239920068396013,0.017133056571791785,0.017027872229046424
2016-03-01,0.014185935018589547,0.017953657817513537,0.018025124219195405,0.015911249587647152,0.015700799162718496,0.015697644813035535,0.015042443522165333,0.01626049527742468,0.016226687323016305,0.0114530672909991,0.011239494160856265,0.01125179924777084,0.015466944123441599,0.016535947685442885,0.016431413692439324
2016-03-02,0.013557757188475883,0.01754499430519943,0.01761026704310179,0.015489656784155465,0.01525786437017935,0.015244870304739942,0.015561700721597403,0.01648424886776193,0.01646018146659977,0.011775459131642315,0.011407856949967344,0.011417808532732887,0.015418921741734676,0.016392957733195147,0.016289527119119056
2016-03-03,0.015324007172599154,0.01797948991809368,0.01805261389613861,0.0160170407347971,0.0158197867264399,0.015824924381796023,0.014660496477515913,0.016168440620834806,0.016121592883306012,0.012515718035494405,0.012329979363929692,0.012341456594513349,0.0146896474147169,0.01582399569835352,0.015721419524263685
2016-03-04,0.01402907430272448,0.01737526272776626,0.017447227809084254,0.015252416777191531,0.015048281173832997,0.015055967300882177,0.013874593137219646,0.015317534815987894,0.015273416433390976,0.011127978122986725,0.010955820315321997,0.010968863090287124,0.013999386351008152,0.015276751846527766,0.015175209073417637
2016-03-05,0.012796647948660337,0.0167744038196914,0.016842566115902225,0.014517717310296245,0.0142959361465378,0.01429971598148866,0.013474158794715465,0.014701495171326543,0.014658521008707221,0.010058677233718024,0.009810081735022184,0.009823600911149205,0.013398172270555172,0.014780991977389935,0.014680089653213046
2016-03-10,0.012052549126121522,0.01631506455414572,0.01638349756162397,0.013941416451585979,0.013717717055506088,0.013726579808351713,0.012758006737204706,0.014070073269877484,0.014024362009213002,0.009270449751423895,0.009070764461037266,0.009086188281349985,0.012777703579514582,0.014273772953079892,0.014174243552701972
2016-03-11,0.011699069507624412,0.01594669351708279,0.016016795821784773,0.013541006911930147,0.013320539409032255,0.013336096934572765,0.012085084753311676,0.013534249275962529,0.01348466433709949,0.008838291983897028,0.008697494784664597,0.008714327287070665,0.012191126431338035,0.013786131781948166,0.013688125766128932
2016-03-12,0.012531861826672838,0.01595051091891137,0.0160260715734143,0.013739768031896069,0.013539439489077067,0.01356531118860181,0.011439282607083743,0.01322113502580794,0.013160697870102678,0.00936193747862521,0.009314716573965872,0.009331409814336474,0.011636857606325327,0.013317393459037966,0.013221052816196429
2016-03-15,0.012096680211482844,0.01559163650430364,0.015668720856128946,0.013404015804465975,0.013205831136219839,0.013236839186578848,0.010853916509660036,0.012736645328808235,0.012674018338423429,0.008892473143996115,0.008867394526809187,0.00888501360416128,0.011113364318830395,0.01286690765384665,0.012772364993810386
2016-03-16,0.011052541124273818,0.015052366656713057,0.015126715310605417,0.012753187691169373,0.012540590580300494,0.012570777236108463,0.010328434435076729,0.012055049499789073,0.011999053578892577,0.008027367479253731,0.007958896444277459,0.007977836455160956,0.010619216411148847,0.012434048561058028,0.01234142879896685
2016-03-17,0.010361528436149032,0.01459225565317449,0.014661541295501325,0.012240950479992267,0.012005613681141046,0.012028954365523628,0.010473930665504966,0.011954648464431639,0.011904682595941695,0.008008566715309234,0.007761767986062459,0.007778631141193444,0.010394395721529458,0.012158462482967484,0.012066752460125172
2016-03-18,0.0098983769126198,0.014180581110931822,0.014244822286527915,0.011843420575364725,0.011585099790302788,0.011600400750317121,0.010729503492883399,0.011971816746605857,0.011929674971698398,0.008257603962098879,0.00785867580080804,0.00787275784486244,0.010283205945532729,0.011959511514247798,0.011868229135295973
2016-03-19,0.015968567892009185,0.016129584689854645,0.016211628847786815,0.014837318117011094,0.01466484293461056,0.014696278931017041,0.010124624127921028,0.012283494164509152,0.012209135302980335,0.012544774410587014,0.012465081103864977,0.0124770668377635,0.009836336711380286,0.01156245024176498,0.011473378612022835
2016-03-22,0.01447776513161315,0.01556445541574224,0.015643255270479058,0.014102609353220195,0.013916604469687368,0.01394702255536435,0.009648380548773698,0.011604358099646663,0.011539862745812887,0.011074429707997135,0.0109718568290937,0.010985170295999073,0.009415176556222005,0.011181193201134266,0.011094429742270756
2016-03-23,0.013354908139047633,0.015082189501490383,0.015156130767506392,0.013508187565900212,0.013300541725846748,0.013324451183504817,0.009875494709871138,0.011567499086375563,0.011512289569116898,0.01044506816312128,0.0102066860664217,0.010219205664649842,0.009339711989820334,0.010999130487093457,0.010913573811412317
2016-03-24,0.01333275158330993,0.015001210253811185,0.015078550466145004,0.013466194862094234,0.013269036688591257,0.013299551763132378,0.00937656213862861,0.011336786874600872,0.011273296069514726,0.010193431000060307,0.01004824091982202,0.010062433566393997,0.008947615858105133,0.010640470320285622,0.010557360586977461
2016-03-25,0.012139426310302535,0.014481403892985991,0.01455581584101365,0.012807985558767356,0.012595917247389702,0.012625302084515599,0.008945179395732037,0.01073978589530172,0.010684197804246799,0.009104056390243137,0.008940018699994121,0.00895577340204073,0.008578763109320512,0.010296316061571335,0.010215738468664777
2016-03-26,0.013259587969573976,0.014707413143870982,0.01477489213551842,0.01334894051555693,0.01311808280530388,0.013130102530829569,0.01090669728833583,0.0122519969244129,0.012228292510960356,0.012957859321986181,0.01256539082500573,0.01257299002381322,0.011291859579162162,0.01187094786241683,0.011794286842966085
2016-03-29,0.01233142938552014,0.014320379978998739,0.014387423326774031,0.01279778434389539,0.012561020394182444,0.012576063929891084,0.010361166926906753,0.011775344194314263,0.011748292087177885,0.011581549452188783,0.011250842530885605,0.01126091988690402,0.010787674937718553,0.011477402713364534,0.011402402815136504
2016-03-30,0.01174893143219334,0.013988804152717818,0.014057249600290065,0.012403592831947247,0.012166225339804295,0.012185895860557763,0.009847768845249313,0.011360525168209715,0.011330572458584173,0.010571505499782221,0.010308070721015127,0.010320379225170848,0.010311944702805978,0.011099543725513432,0.011026324378460286
2016-03-31,0.012077271456526869,0.01395998554743203,0.014021371012146868,0.012546202336741715,0.012289071197246254,0.012295366671775195,0.011153996412989047,0.012315871488516286,0.012304968220585537,0.012164479385756028,0.011735166526521389,0.011743268845480227,0.011501359470719253,0.011807954668037631,0.01173653062566694
2016-04-01,0.012624818479919236,0.014109404943383728,0.014175572596415687,0.01269527155859391,0.012458371879771151,0.012474588247924908,0.010568389947229199,0.012091712813007343,0.01206644451958196,0.01172986288039922,0.011441356458044656,0.011452033586873694,0.010985447599770225,0.011416914261873534,0.011346970736020154
