parameter,coef,std_err,z_stat,p_value
mu,-4.191131417983163e-05,0.00021832389076124694,-0.1919685199530669,0.8477668642188316
phi,-0.042813036005495485,0.4147238948780194,-0.10323262424531353,0.9177783478213144
theta,0.09083125986597519,0.41246719238691065,0.2202145080687335,0.8257040981502006
omega,-0.16082246720257692,0.06076290423401351,-2.646721206465188,0.008127632869735946
alpha,0.11233847724404539,0.021889776899255305,5.132006496049175,2.866696027226112e-07
gamma,0.11777199458186349,0.017493718027871374,6.732244934680357,1.670641402995443e-11
beta,0.9831932220361762,0.006313614989136979,155.72587554480748,0.0
