parameter,coef,std_err,z_stat,p_value
mu,-0.0005065723571601293,,,
phi,-0.5055753464405276,,,
theta,0.5031022855529292,,,
lambda_m,0.11151542518599977,,,
omega,8.725901522690496e-07,,,
alpha,0.07460007594790789,,,
beta,0.8990348461890625,,,
nu,7.998251998349697,,,
