parameter,coef,std_err,z_stat,p_value
mu,-0.0001800139920271061,,,
phi,0.0017222668213848222,,,
theta,-0.03864579820832558,,,
omega,1.040345806739377e-07,,,
alpha,0.0216199903219656,,,
beta,0.975658907142822,,,
