parameter,coef,std_err,z_stat,p_value
mu,-9.305843376240364e-05,,,
phi,-0.43712543219183353,,,
theta,0.400398729012406,,,
omega,9.997309649091146e-09,,,
alpha,0.005707175232940491,,,
gamma,0.01835616844805003,,,
beta,0.9834990926484576,,,
nu,7.99784657515708,,,
skew,1.0496863201727475,,,
