series,lag,lb_stat,lb_pvalue,bp_stat,bp_pvalue
log_return,1,0.2938318219946909,0.5877754077094789,0.2933493395283613,0.5880821461481008
log_return,6,0.7720568270308522,0.9928020542252717,0.7703622892776492,0.9928448903425127
log_return,10,2.8743489559921924,0.9842282332945234,2.8592340828348384,0.9845452726408657
log_return,15,7.992384376255554,0.9240876595933349,7.934417815251989,0.9263850238821728
log_return,20,10.67267606579383,0.9542733477976468,10.58464255140497,0.9562913102185692
abs_log_return,1,12.420675815928501,0.0004246065553982156,12.40028061754438,0.0004292693346961692
abs_log_return,6,75.26448904354321,3.385982009156452e-14,75.03645185028253,3.772564620033364e-14
abs_log_return,10,110.59989872355696,4.038304393677135e-19,110.16025511844502,4.953099838592784e-19
abs_log_return,15,171.38538562537525,1.288127281456626e-28,170.43928721355914,1.995113694581031e-28
abs_log_return,20,215.9315389765383,7.73186897078124e-35,214.48672965729725,1.4998243516881532e-34
sq_log_return,1,4.7168780637080046,0.029867923137981388,4.709132779531144,0.030002783012808062
sq_log_return,6,22.755292916454884,0.0008827192015998091,22.688356293809978,0.0009078648097639213
sq_log_return,10,27.984491201695604,0.0018155985910888336,27.88528674518798,0.0018831750535916098
sq_log_return,15,51.27012502510665,7.453361817271469e-06,50.974241657876426,8.337253483573636e-06
sq_log_return,20,60.611665136841744,5.724561421302424e-06,60.20906249662484,6.610139714699547e-06
