parameter,coef,std_err,z_stat,p_value
mu,-0.0002612993598848783,,,
phi,-0.3014602536701803,,,
theta,0.26288456425934004,,,
omega,2.5094611246060668e-05,,,
alpha,0.07644749975250839,,,
gamma,-0.19002717910227504,,,
beta,0.9126399948630105,,,
delta,1.3386132886988296,,,
nu,8.814116955947206,,,
skew,0.868023920734653,,,
