parameter,coef,std_err,z_stat,p_value
mu,-0.00013134504942388414,,,
phi,0.00212913605605127,,,
theta,-0.0382223096335956,,,
omega,6.305360818498688e-08,,,
alpha,0.021611089479227925,,,
beta,0.975257233022865,,,
nu,7.998936322771957,,,
