model_key,series,lag,lb_stat,lb_pvalue,bp_stat,bp_pvalue
GARCH | normal,std_resid,1,0.2573605608272735,0.6119393112080536,0.25693796548929765,0.6122316610854908
GARCH | normal,std_resid,6,1.8223971490733273,0.9352865189077216,1.816995989837237,0.9357365294960932
GARCH | normal,std_resid,10,2.792060181945909,0.9859028266568655,2.7807942298794943,0.9861223766021924
GARCH | normal,std_resid,15,7.751753383095901,0.9333490193041581,7.699911774591277,0.935249319580192
GARCH | normal,std_resid,20,10.129065676502387,0.9657707617358651,10.052369574131113,0.9672123599388526
GARCH | normal,abs_std_resid,1,0.0012343007491519423,0.9719739931731443,0.0012322739827329739,0.9719970030267848
GARCH | normal,abs_std_resid,6,7.270730476623215,0.2965343077212692,7.247505177229262,0.29856344646635535
GARCH | normal,abs_std_resid,10,9.540705317551657,0.48166864155213207,9.505163506686312,0.484923871773006
GARCH | normal,abs_std_resid,15,20.450447982326907,0.1553253232237393,20.32202530827712,0.15992433913395662
GARCH | normal,abs_std_resid,20,23.55213006065698,0.26250334279030446,23.388723651693716,0.27011282703294914
GARCH | normal,sq_std_resid,1,0.047678817015784296,0.8271526831341887,0.047600526675856895,0.8272924129473832
GARCH | normal,sq_std_resid,6,4.998067901175145,0.5440609465765465,4.982419138919306,0.5460699726093756
GARCH | normal,sq_std_resid,10,7.6285003875352695,0.6650729376186978,7.598850261499099,0.6679553297119968
GARCH | normal,sq_std_resid,15,18.320251586833834,0.24620344244492975,18.198959573617174,0.2523501964566546
GARCH | normal,sq_std_resid,20,21.02004303113792,0.39595371671555446,20.870157469882646,0.40481020878067353
GARCH | t,std_resid,1,0.1999940288925906,0.6547256657672573,0.1996656314724057,0.654990874114252
GARCH | t,std_resid,6,1.9188277515331118,0.927010479556267,1.9129735273841808,0.9275257825157646
GARCH | t,std_resid,10,2.890678094625928,0.9838808898623316,2.878995186466666,0.9841299137915904
GARCH | t,std_resid,15,7.876988310460304,0.9286195678820128,7.8246001022215665,0.9306218991251431
GARCH | t,std_resid,20,10.394496734501306,0.9604417302156992,10.31588469073865,0.9620757366861838
GARCH | t,abs_std_resid,1,0.002175239253970063,0.9628005814902268,0.0021716674325349726,0.9628311133122035
GARCH | t,abs_std_resid,6,7.1339197518205,0.3086398502147741,7.111329056746285,0.31067422769470027
GARCH | t,abs_std_resid,10,9.560652398056742,0.47984579018848217,9.525187451043196,0.4830887654120446
GARCH | t,abs_std_resid,15,20.351845969981714,0.15884686675594425,20.224774218325905,0.16347860140401435
GARCH | t,abs_std_resid,20,23.43163089100407,0.2681007046261388,23.270180483579036,0.27572366015765626
