parameter,coef,std_err,z_stat,p_value
mu,-8.693543663810774e-05,,,
phi,-0.5035207736183827,,,
theta,0.5064456776970965,,,
omega,5.7899051553908324e-06,,,
alpha,0.06675466077908464,,,
gamma,-0.05607548091132682,,,
beta,0.932190763895114,,,
delta,1.4820489681492406,,,
nu,8.00029265313485,,,
