model_key,model,distribution,parameter,coef,std_err,z_stat,p_value
GJR-GARCH | skewt,GJR-GARCH,skewt,phi,-0.43712543219183353,,,
GJR-GARCH | skewt,GJR-GARCH,skewt,theta,0.400398729012406,,,
GJR-GARCH | skewt,GJR-GARCH,skewt,omega,9.997309649091146e-09,,,
GJR-GARCH | skewt,GJR-GARCH,skewt,alpha,0.005707175232940491,,,
GJR-GARCH | skewt,GJR-GARCH,skewt,gamma,0.01835616844805003,,,
GJR-GARCH | skewt,GJR-GARCH,skewt,beta,0.9834990926484576,,,
GJR-GARCH | skewt,GJR-GARCH,skewt,nu,7.99784657515708,,,
GJR-GARCH | skewt,GJR-GARCH,skewt,skew,1.0496863201727475,,,
APARCH | normal,APARCH,normal,mu,-0.00030968360722839435,,,
APARCH | normal,APARCH,normal,phi,-0.5035566909435631,,,
APARCH | normal,APARCH,normal,theta,0.5063097091646696,,,
APARCH | normal,APARCH,normal,omega,8.636059877828476e-06,,,
APARCH | normal,APARCH,normal,alpha,0.06674118480354693,,,
APARCH | normal,APARCH,normal,gamma,-0.05597156824959982,,,
APARCH | normal,APARCH,normal,beta,0.932039212448746,,,
APARCH | normal,APARCH,normal,delta,1.481923275606562,,,
APARCH | t,APARCH,t,mu,-8.693543663810774e-05,,,
APARCH | t,APARCH,t,phi,-0.5035207736183827,,,
APARCH | t,APARCH,t,theta,0.5064456776970965,,,
APARCH | t,APARCH,t,omega,5.7899051553908324e-06,,,
APARCH | t,APARCH,t,alpha,0.06675466077908464,,,
APARCH | t,APARCH,t,gamma,-0.05607548091132682,,,
APARCH | t,APARCH,t,beta,0.932190763895114,,,
APARCH | t,APARCH,t,delta,1.4820489681492406,,,
APARCH | t,APARCH,t,nu,8.00029265313485,,,
APARCH | skewt,APARCH,skewt,mu,-0.0002612993598848783,,,
APARCH | skewt,APARCH,skewt,phi,-0.3014602536701803,,,
APARCH | skewt,APARCH,skewt,theta,0.26288456425934004,,,
APARCH | skewt,APARCH,skewt,omega,2.5094611246060668e-05,,,
APARCH | skewt,APARCH,skewt,alpha,0.07644749975250839,,,
APARCH | skewt,APARCH,skewt,gamma,-0.19002717910227504,,,
APARCH | skewt,APARCH,skewt,beta,0.9126399948630105,,,
APARCH | skewt,APARCH,skewt,delta,1.3386132886988296,,,
APARCH | skewt,APARCH,skewt,nu,8.814116955947206,,,
APARCH | skewt,APARCH,skewt,skew,0.868023920734653,,,
