parameter,coef,std_err,z_stat,p_value
mu,-0.0001366682711630848,,,
phi,-0.4376522859829439,,,
theta,0.40018106512816964,,,
omega,1e-12,,,
alpha,0.005709282154708993,,,
gamma,0.01873174717586599,,,
beta,0.9838621723109446,,,
nu,7.998685733564431,,,
