parameter,coef,std_err,z_stat,p_value
mu,-0.00022988474345675026,0.00011999942839611074,-1.9157153207256525,0.05540134123807472
phi,-0.2917434464598363,0.49421140154782095,-0.590321157193308,0.554975357647707
theta,0.25176401064107007,0.5000110162192729,0.5035169275763766,0.6146008820709616
omega,-0.034544841605177,0.01597572238845748,-2.1623336187999724,0.030592470176785014
alpha,0.03853493591546857,0.00903722930791573,4.2640210403553365,2.0078052544558744e-05
gamma,-0.023176293160410553,0.00556328873405552,-4.165933904982769,3.100805378730698e-05
beta,0.9964478599993906,0.0015607149251218263,638.456033168011,0.0
