parameter,coef,std_err,z_stat,p_value
mu,-9.50775732720138e-05,,,
phi,-0.5260257573205965,,,
theta,0.4948552141646996,,,
omega,-0.007750791095357108,,,
alpha,0.050650233385742524,,,
gamma,-0.019635771461625092,,,
beta,0.99899999999683,,,
nu,5.332749258112955,,,
