parameter,coef,std_err,z_stat,p_value
mu,-0.0005787530795900281,,,
phi,-0.5052803773739173,,,
theta,0.50401144442667,,,
lambda_m,0.10549426813881974,,,
omega,1.095261779886415e-06,,,
alpha,0.07464550046372373,,,
beta,0.899582273901022,,,
